"""Familia MO.""
00:1D:CE:D7:67:AC","""joaquin""
CC:D4:A1:E6:A1:E3","""monterovergara_INV""
72:D4:A1:8E:EE:09","""casa""
CC:D4:A1:6E:BE:88","""VTR-1114648""
48:D3:43:19:34:31","""VTR-2336184""
48:D3:43:10:08:F9","""VTR-1114648""
48:D3:43:19:34:37","""casa 5G""
CC:D4:A1:6E:BE:90","""casa""
C6:D4:A1:6E:BE:90"
-54,-84,-86,-88,-73,-81,-79,-90,-89
-54,-83,-85,-86,-71,-81,-81,-90,-89
-52,-83,-85,-87,-72,-80,-81,-90,-89
-53,-83,-85,-85,-73,-81,-80,-86,-91
-53,-83,-87,-85,-72,-80,-80,-86,-91
-52,-82,-84,-85,-71,-80,-78,-85,-89
-51,-85,-84,-85,-73,-80,-79,-85,-89
-53,-85,-84,-87,-77,-80,-81,-85,-89
-54,-82,-85,-87,-74,-83,-80,-84,-91
-54,-84,-85,-87,-73,-84,-79,-84,-88
-55,-83,-85,-88,-73,-83,-78,-94,-88
-53,-83,-85,-85,-75,-83,-79,-94,-90
-53,-82,-85,-74,-85,-79,-94,-90,-90
-53,-82,-85,-73,-80,-80,-94,-90,-90
-54,-86,-85,-74,-84,-79,-90,-90,-89
-53,-86,-90,-75,-84,-78,-90,-90,-89
-52,-86,-90,-75,-83,-80,-90,-93,-89
-55,-86,-85,-77,-81,-81,-90,-93,-89
-54,-84,-87,-77,-82,-81,-90,-93,-86
-54,-81,-87,-75,-82,-79,-90,-86,-91
-55,-85,-87,-76,-82,-80,-89,-91,-89
-56,-85,-84,-78,-82,-85,-89,-90,-89
-53,-80,-87,-75,-80,-81,-89,-90,-89
-54,-86,-87,-74,-83,-80,-89,-90,-89
-53,-83,-81,-76,-85,-84,-90,-88,-89
-52,-83,-86,-80,-82,-81,-91,-88,-89
-53,-83,-87,-79,-81,-80,-91,-88,-89
-55,-85,-87,-79,-81,-79,-91,-92,-89
-55,-83,-87,-73,-84,-79,-91,-92,-89
-55,-82,-88,-80,-81,-79,-91,-92,-89
-53,-83,-88,-73,-84,-83,-92,-89,-89
-52,-85,-88,-77,-84,-81,-89,-89,-90
-53,-85,-88,-78,-82,-81,-89,-90,-90
-53,-87,-85,-78,-82,-81,-88,-90,-90
-54,-83,-85,-79,-81,-81,-88,-91,-90
-53,-83,-85,-75,-82,-80,-88,-90,-89
-56,-87,-89,-75,-83,-80,-88,-90,-89
-56,-87,-89,-74,-81,-82,-88,-90,-89
-56,-86,-85,-74,-82,-79,-90,-89,-90
-53,-87,-85,-73,-81,-83,-90,-89,-90
-55,-83,-85,-74,-80,-80,-90,-89,-90
-55,-83,-85,-72,-80,-80,-86,-90,-89
-55,-82,-74,-83,-79,-86,-90,-89,-90
-54,-81,-74,-83,-82,-86,-90,-89,-90
-57,-83,-71,-82,-82,-86,-85,-93,-90
-55,-86,-76,-80,-82,-89,-85,-93,-86
-56,-86,-76,-82,-81,-85,-85,-93,-86
-55,-86,-77,-82,-81,-85,-85,-93,-86
-56,-86,-75,-83,-82,-85,-93,-86,-89
-53,-80,-74,-83,-79,-92,-89,-86,-89
-53,-80,-74,-83,-79,-92,-89,-86,-89
-54,-81,-74,-81,-80,-89,-89,-92,-86
-54,-81,-77,-81,-83,-90,-90,-91,-86
-56,-81,-73,-82,-79,-92,-90,-90,-87
-54,-79,-74,-84,-78,-92,-92,-90,-87
-53,-79,-73,-83,-79,-91,-92,-91,-85
-53,-84,-74,-82,-79,-91,-92,-90,-85
-56,-83,-78,-82,-83,-91,-92,-90,-85
-59,-83,-76,-82,-83,-91,-92,-90,-85
-58,-83,-76,-82,-82,-91,-90,-85,-87
-55,-86,-77,-81,-83,-90,-85,-88,-86
-54,-86,-74,-82,-81,-88,-86,-91,-92
-52,-84,-76,-81,-81,-88,-89,-90,-91
-54,-84,-76,-81,-79,-88,-89,-90,-89
-52,-84,-74,-80,-79,-88,-89,-91,-90
-55,-82,-78,-80,-79,-88,-86,-90,-92
-54,-85,-78,-80,-81,-87,-86,-90,-89
-55,-85,-75,-80,-80,-87,-86,-89,-89
-53,-83,-73,-81,-81,-86,-86,-89,-89
-56,-83,-73,-81,-80,-86,-86,-87,-87
-56,-83,-80,-80,-81,-86,-87,-89,-89
-56,-91,-73,-81,-80,-86,-87,-90,-89
-54,-91,-72,-82,-80,-86,-87,-89,-89
-56,-83,-73,-82,-79,-85,-85,-89,-88
-55,-83,-73,-82,-82,-85,-85,-90,-87
-54,-83,-72,-82,-80,-86,-86,-91,-91
-54,-87,-73,-81,-81,-87,-87,-91,-89
-55,-86,-73,-81,-81,-87,-87,-88,-86
-54,-86,-74,-81,-81,-88,-87,-89,-88
