"""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""linksys""
00:25:9C:98:4B:7D","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""SMA1930055648""
B0:72:BF:05:3C:3D","""AP_1612927617""
BC:54:F9:FC:7F:60","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""Microondas""
48:F8:B3:22:4D:4B","""Docentes FI""
0E:18:D6:CB:01:A4"
-70,-77,-72,-78,-74,-73,-60,-78,-73,-77
-70,-77,-72,-78,-75,-73,-58,-78,-73,-76
-70,-77,-72,-78,-74,-73,-58,-78,-75,-77
-70,-77,-72,-78,-74,-73,-58,-78,-75,-77
-70,-77,-72,-78,-74,-74,-59,-78,-74,-77
-71,-76,-72,-78,-74,-74,-57,-78,-74,-77
-71,-76,-72,-74,-73,-56,-78,-76,-77,-78
-71,-76,-72,-75,-73,-56,-78,-76,-77,-78
-72,-77,-72,-75,-74,-57,-78,-77,-77,-77
-72,-77,-72,-75,-74,-56,-78,-77,-78,-77
-73,-76,-72,-75,-74,-55,-78,-76,-78,-77
-72,-76,-72,-75,-74,-55,-78,-77,-78,-77
-72,-77,-72,-75,-74,-55,-78,-77,-78,-77
-71,-77,-72,-75,-74,-56,-78,-77,-78,-77
-71,-77,-72,-76,-74,-58,-78,-77,-78,-77
-71,-77,-72,-76,-74,-57,-78,-77,-78,-76
-71,-77,-72,-76,-74,-57,-78,-77,-78,-75
-70,-77,-72,-77,-74,-56,-78,-77,-78,-75
-70,-77,-72,-77,-73,-56,-78,-77,-78,-75
-70,-77,-72,-77,-73,-56,-78,-76,-78,-75
-70,-77,-74,-77,-73,-56,-78,-75,-78,-75
-70,-77,-73,-77,-73,-56,-77,-76,-78,-75
-70,-77,-73,-77,-72,-56,-77,-76,-78,-75
-70,-77,-73,-76,-72,-56,-77,-77,-78,-77
-70,-77,-73,-76,-72,-57,-77,-77,-78,-76
-70,-77,-73,-77,-72,-57,-77,-77,-78,-76
-71,-77,-73,-77,-72,-57,-77,-77,-78,-77
-71,-77,-73,-77,-72,-56,-77,-77,-78,-77
-72,-77,-73,-76,-72,-57,-77,-77,-78,-77
-73,-77,-74,-76,-72,-58,-77,-75,-78,-77
-73,-77,-74,-76,-72,-58,-77,-76,-78,-77
-74,-77,-73,-76,-72,-58,-77,-76,-78,-77
-75,-77,-73,-76,-72,-57,-78,-76,-77,-77
-75,-77,-73,-77,-72,-57,-78,-77,-77,-77
-75,-77,-73,-77,-72,-57,-78,-77,-78,-77
-74,-77,-73,-77,-72,-58,-78,-75,-78,-77
-74,-77,-74,-76,-72,-58,-78,-76,-78,-77
-73,-76,-73,-76,-72,-58,-78,-75,-78,-77
-72,-76,-73,-75,-72,-58,-78,-75,-78,-77
-74,-76,-73,-75,-72,-58,-78,-76,-77,-77
-73,-76,-73,-75,-72,-58,-78,-76,-77,-77
