"""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""FabLab""
AC:84:C6:3E:EF:51","""Lab ERNC""
00:90:4C:91:00:03","""AP_1612927617""
BC:54:F9:FC:7F:60","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Microondas""
48:F8:B3:22:4D:4B","""CE5CFB""
98:FC:11:E2:A6:A5","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""Vibraciones""
50:C7:BF:DD:C3:B3","""DIRECT-TOLAPTOP-NCCQG7FKmsNC""
76:6E:69:D9:C9:31","""Sistemas Electronicos""
64:70:02:40:6C:DE","""LabSerc 2.4""
94:10:3E:86:13:20","""Docentes FI""
12:18:D6:CB:01:A4","""Redmi""
20:47:DA:47:02:1F"
-73,-71,-73,-79,-69,-45,-59,-75,-57,-73,-79,-67,-67,-77,-73,-83
-67,-73,-71,-81,-69,-45,-59,-73,-59,-75,-75,-69,-81,-77,-73,-83
-67,-71,-73,-79,-69,-45,-57,-63,-61,-73,-77,-71,-75,-77,-73,-83
-71,-71,-69,-79,-69,-41,-59,-73,-57,-75,-75,-71,-75,-79,-81,-87
-69,-73,-73,-79,-69,-41,-63,-73,-61,-75,-75,-67,-75,-79,-75,-87
-71,-75,-71,-69,-69,-53,-61,-73,-63,-75,-75,-73,-75,-77,-77,-83
-67,-71,-71,-75,-69,-49,-59,-65,-61,-77,-73,-73,-79,-71,-77,-81
-69,-71,-71,-71,-69,-49,-77,-73,-61,-77,-75,-73,-79,-71,-77,-83
-69,-71,-71,-71,-69,-49,-57,-83,-61,-77,-73,-73,-79,-73,-73,-81
-65,-71,-69,-75,-71,-45,-61,-65,-61,-77,-69,-67,-69,-73,-85,-83
-67,-67,-69,-81,-67,-45,-61,-75,-59,-83,-69,-75,-77,-73,-79,-85
-67,-73,-67,-83,-69,-43,-59,-71,-63,-77,-71,-71,-71,-75,-79,-85
-63,-71,-71,-83,-69,-41,-61,-65,-63,-77,-71,-69,-75,-73,-79,-85
-65,-71,-71,-79,-69,-39,-61,-65,-59,-77,-73,-69,-75,-73,-77,-85
-63,-73,-73,-77,-67,-41,-59,-73,-59,-73,-69,-69,-77,-81,-77,-81
-63,-73,-69,-73,-69,-53,-61,-73,-59,-73,-71,-71,-77,-81,-73,-83
-65,-73,-75,-75,-69,-43,-61,-71,-59,-77,-71,-71,-77,-81,-73,-85
-65,-73,-75,-73,-67,-43,-61,-71,-61,-73,-73,-73,-77,-81,-73,-85
-65,-73,-81,-71,-67,-45,-61,-73,-57,-73,-73,-73,-77,-81,-77,-85
-65,-75,-77,-71,-69,-43,-59,-73,-59,-73,-73,-69,-73,-77,-77,-83
-65,-73,-71,-81,-69,-45,-59,-73,-59,-67,-67,-67,-67,-77,-75,-85
-65,-73,-69,-79,-69,-41,-57,-73,-57,-67,-73,-87,-67,-77,-73,-77
-65,-73,-69,-79,-67,-41,-57,-69,-57,-71,-73,-69,-67,-77,-73,-77
-65,-73,-67,-79,-69,-41,-61,-73,-57,-69,-71,-67,-67,-77,-73,-83
-67,-71,-77,-69,-69,-39,-59,-69,-57,-71,-71,-69,-79,-71,-75,-79
-65,-73,-69,-69,-81,-47,-61,-73,-57,-71,-71,-69,-79,-77,-75,-81
-65,-73,-69,-69,-69,-39,-61,-73,-57,-71,-71,-73,-77,-77,-77,-81
-65,-71,-69,-83,-69,-43,-61,-73,-57,-75,-71,-73,-77,-77,-77,-75
-65,-69,-67,-83,-67,-43,-59,-73,-59,-73,-67,-73,-77,-77,-77,-83
-65,-73,-75,-83,-69,-41,-59,-75,-59,-73,-67,-67,-77,-77,-77,-77
-63,-75,-67,-69,-71,-41,-59,-75,-59,-71,-71,-71,-77,-77,-79,-77
-63,-73,-75,-79,-69,-41,-61,-73,-59,-73,-73,-67,-67,-77,-83,-77
