"""AP_1612927617""
BC:54:F9:FC:7F:60","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Microondas""
48:F8:B3:22:4D:4B","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1","""CE5CFB""
98:FC:11:E2:A6:A5","""linksys""
00:25:9C:98:4B:7D","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Lab ERNC""
00:90:4C:91:00:03","""Lab 212""
00:23:CD:18:65:9C","""eduroam""
84:D4:7E:29:3E:82","""Docentes FI""
0E:18:D6:CB:01:A4","""LCDA""
B0:48:7A:DE:14:8C","""LabSerc 2.4""
94:10:3E:86:13:20","""Baxter""
EC:22:80:F3:EB:EA","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""WiFi-UdeC""
84:D4:7E:29:3E:81","""eduroam""
84:D4:7E:29:3C:E2","""Die231""
EC:08:6B:42:B5:4A"
-75,-33,-65,-65,-65,-53,-83,-73,-61,-69,-79,-65,-73,-83,-75,-63,-73,-67,-81,-77
-73,-43,-63,-65,-63,-51,-83,-73,-65,-65,-79,-67,-79,-83,-79,-75,-77,-67,-81,-79
-73,-33,-65,-65,-63,-59,-85,-69,-65,-71,-83,-65,-79,-83,-79,-59,-77,-67,-83,-77
-73,-33,-63,-65,-63,-53,-83,-73,-65,-65,-79,-67,-79,-83,-75,-63,-77,-67,-83,-77
-71,-35,-63,-65,-65,-77,-83,-75,-65,-71,-79,-65,-73,-83,-73,-63,-77,-65,-83,-77
-75,-35,-63,-65,-63,-51,-81,-73,-63,-71,-79,-67,-77,-83,-75,-63,-77,-67,-83,-77
-73,-33,-65,-65,-63,-53,-83,-73,-63,-71,-79,-67,-73,-83,-75,-75,-67,-65,-83,-79
-75,-35,-59,-65,-63,-51,-83,-73,-63,-65,-79,-65,-73,-83,-81,-75,-67,-65,-83,-77
-73,-35,-65,-63,-65,-53,-83,-73,-63,-69,-79,-65,-73,-81,-73,-63,-67,-65,-83,-77
-75,-43,-63,-65,-63,-53,-85,-73,-63,-65,-79,-65,-73,-81,-73,-63,-75,-65,-83,-77
