"""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Microondas""
48:F8:B3:22:4D:4B","""Sistemas Electronicos""
64:70:02:40:6C:DE","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Lab ERNC""
00:90:4C:91:00:03","""Vibraciones""
50:C7:BF:DD:C3:B3","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""FabLab""
AC:84:C6:3E:EF:51","""AP_1612927617""
BC:54:F9:FC:7F:60","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""linksys""
00:25:9C:98:4B:7D","""Wakamole""
C8:D7:B0:36:18:FC","""Docentes FI""
0E:18:D6:CB:01:A4","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""SMA1930055648""
B0:72:BF:05:3C:3D","""LCDA""
B0:48:7A:DE:14:8C","""LCSE-24""
F8:E9:03:C7:2C:80","""H8314""
38:78:62:05:A4:EE","""UdeC""
84:D4:7E:29:3E:80","""DII-SalaEstudio""
D8:5D:4C:BF:11:FA","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""CE5CFB""
98:FC:11:E2:A6:A5","""ANDES""
00:11:95:09:C1:4A","""Yion""
DC:BF:E9:85:EA:67","""LabSerc 2.4""
94:10:3E:86:13:20","""Die231""
EC:08:6B:42:B5:4A","""Martin""
F4:C2:48:FF:99:33","""Controlistas""
54:E6:FC:E7:FA:D2","""Informatica_IS2-2""
00:4F:67:04:E5:70"
['-41'],['-75'],['-73'],['-73'],['-65'],['-71'],['-69'],['-79'],['-75'],['-53'],['-77'],['-71'],['-73'],['-71'],['-79'],['-83'],['-77'],['-71'],['-75'],['-77'],['-71'],['-79'],['-81'],['-77'],['-79'],['-79'],['-77'],['-83'],['-83']
['-41'],['-75'],['-65'],['-73'],['-75'],['-71'],['-67'],['-79'],['-75'],['-51'],['-83'],['-75'],['-71'],['-71'],['-79'],['-83'],['-77'],['-71'],['-81'],['-79'],['-69'],['-79'],['-81'],['-77'],['-79'],['-79'],['-73'],['-83'],['-83']
['-45'],['-75'],['-65'],['-73'],['-75'],['-71'],['-79'],['-79'],['-75'],['-53'],['-81'],['-73'],['-71'],['-73'],['-79'],['-83'],['-77'],['-73'],['-81'],['-79'],['-69'],['-79'],['-81'],['-77'],['-79'],['-79'],['-73'],['-83'],['-83']
['-41'],['-75'],['-69'],['-73'],['-63'],['-71'],['-67'],['-79'],['-75'],['-45'],['-81'],['-73'],['-73'],['-73'],['-79'],['-83'],['-77'],['-73'],['-81'],['-79'],['-67'],['-79'],['-81'],['-81'],['-81'],['-79'],['-73'],['-83'],['-83']
['-41'],['-75'],['-61'],['-71'],['-63'],['-71'],['-67'],['-77'],['-75'],['-53'],['-83'],['-69'],['-71'],['-69'],['-79'],['-83'],['-77'],['-73'],['-77'],['-79'],['-71'],['-75'],['-77'],['-81'],['-81'],['-79'],['-71'],['-83'],['-83']
['-47'],['-75'],['-65'],['-71'],['-63'],['-67'],['-67'],['-77'],['-75'],['-53'],['-79'],['-75'],['-71'],['-69'],['-79'],['-77'],['-77'],['-73'],['-77'],['-79'],['-71'],['-81'],['-77'],['-81'],['-81'],['-79'],['-73'],['-83'],['-83']
['-41'],['-75'],['-69'],['-71'],['-63'],['-67'],['-67'],['-77'],['-75'],['-53'],['-85'],['-69'],['-73'],['-69'],['-79'],['-77'],['-75'],['-73'],['-77'],['-79'],['-71'],['-81'],['-77'],['-81'],['-81'],['-79'],['-73'],['-83'],['-83']
['-43'],['-73'],['-79'],['-71'],['-63'],['-67'],['-67'],['-77'],['-75'],['-51'],['-79'],['-73'],['-73'],['-73'],['-79'],['-77'],['-75'],['-73'],['-73'],['-79'],['-69'],['-81'],['-77'],['-81'],['-81'],['-79'],['-73'],['-83'],['-83']
['-47'],['-77'],['-71'],['-71'],['-63'],['-73'],['-67'],['-77'],['-75'],['-53'],['-79'],['-65'],['-73'],['-71'],['-79'],['-81'],['-75'],['-73'],['-73'],['-79'],['-69'],['-77'],['-77'],['-81'],['-81'],['-79'],['-75'],['-83'],['-83']
['-43'],['-77'],['-71'],['-73'],['-63'],['-73'],['-67'],['-79'],['-75'],['-53'],['-79'],['-77'],['-73'],['-71'],['-79'],['-81'],['-75'],['-73'],['-75'],['-79'],['-69'],['-77'],['-77'],['-81'],['-81'],['-79'],['-73'],['-81'],['-83']
