"""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""FabLab""
AC:84:C6:3E:EF:51","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""Lab ERNC""
00:90:4C:91:00:03","""Microondas""
48:F8:B3:22:4D:4B","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""AP_1612927617""
BC:54:F9:FC:7F:60","""CE5CFB""
98:FC:11:E2:A6:A5","""Sistemas Electronicos""
64:70:02:40:6C:DE","""Baxter""
EC:22:80:F3:EB:EA","""SalaEstudioMecanica""
80:2A:A8:D4:F3:58","""Docentes FI""
0E:18:D6:CB:01:A4","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Vibraciones""
50:C7:BF:DD:C3:B3","""Die231""
EC:08:6B:42:B5:4A"
['-65'],['-65'],['-69'],['-59'],['-69'],['-63'],['-67'],['-37'],['-59'],['-63'],['-71'],['-83'],['-79'],['-65'],['-63'],['-71'],['-79']
['-69'],['-65'],['-69'],['-61'],['-61'],['-63'],['-67'],['-37'],['-59'],['-65'],['-69'],['-83'],['-79'],['-65'],['-61'],['-67'],['-79']
['-69'],['-65'],['-77'],['-59'],['-61'],['-57'],['-67'],['-37'],['-59'],['-69'],['-67'],['-83'],['-79'],['-65'],['-61'],['-75'],['-79']
['-67'],['-65'],['-75'],['-75'],['-61'],['-63'],['-65'],['-37'],['-59'],['-67'],['-83'],['-83'],['-79'],['-63'],['-61'],['-75'],['-79']
['-61'],['-65'],['-63'],['-61'],['-61'],['-61'],['-65'],['-35'],['-59'],['-69'],['-83'],['-83'],['-79'],['-65'],['-63'],['-65'],['-79']
['-69'],['-65'],['-63'],['-61'],['-65'],['-61'],['-65'],['-35'],['-61'],['-69'],['-83'],['-83'],['-79'],['-65'],['-61'],['-67'],['-79']
['-69'],['-65'],['-63'],['-61'],['-65'],['-63'],['-65'],['-35'],['-59'],['-67'],['-67'],['-83'],['-79'],['-63'],['-59'],['-71'],['-79']
['-65'],['-61'],['-63'],['-59'],['-67'],['-61'],['-67'],['-37'],['-59'],['-67'],['-67'],['-81'],['-79'],['-63'],['-61'],['-69'],['-79']
['-65'],['-63'],['-63'],['-61'],['-67'],['-61'],['-67'],['-37'],['-59'],['-69'],['-69'],['-77'],['-69'],['-63'],['-61'],['-69'],['-79']
['-67'],['-65'],['-67'],['-67'],['-61'],['-59'],['-65'],['-37'],['-61'],['-63'],['-77'],['-77'],['-81'],['-63'],['-61'],['-63'],['-79']
['-69'],['-65'],['-71'],['-61'],['-67'],['-61'],['-65'],['-33'],['-61'],['-63'],['-77'],['-77'],['-81'],['-65'],['-59'],['-79'],['-79']
['-67'],['-67'],['-71'],['-61'],['-67'],['-63'],['-65'],['-37'],['-61'],['-65'],['-69'],['-77'],['-81'],['-63'],['-59'],['-77'],['-79']
['-67'],['-63'],['-65'],['-59'],['-61'],['-63'],['-65'],['-33'],['-59'],['-67'],['-71'],['-77'],['-81'],['-65'],['-61'],['-69'],['-81']
['-65'],['-65'],['-67'],['-61'],['-55'],['-61'],['-65'],['-37'],['-61'],['-67'],['-75'],['-77'],['-81'],['-65'],['-61'],['-69'],['-75']
['-67'],['-65'],['-71'],['-59'],['-55'],['-61'],['-65'],['-33'],['-61'],['-67'],['-75'],['-77'],['-81'],['-63'],['-61'],['-69'],['-75']
['-67'],['-67'],['-73'],['-59'],['-55'],['-61'],['-65'],['-33'],['-61'],['-67'],['-63'],['-81'],['-61'],['-61'],['-69'],['-75'],['-85']
['-65'],['-63'],['-63'],['-59'],['-61'],['-59'],['-65'],['-33'],['-61'],['-67'],['-71'],['-79'],['-61'],['-61'],['-69'],['-79'],['-85']
['-65'],['-63'],['-69'],['-59'],['-63'],['-59'],['-67'],['-33'],['-59'],['-67'],['-57'],['-79'],['-67'],['-61'],['-71'],['-79'],['-85']
['-69'],['-63'],['-75'],['-59'],['-75'],['-61'],['-67'],['-37'],['-59'],['-67'],['-67'],['-79'],['-67'],['-61'],['-69'],['-79'],['-85']
['-69'],['-61'],['-69'],['-59'],['-61'],['-61'],['-61'],['-35'],['-59'],['-63'],['-65'],['-79'],['-63'],['-61'],['-73'],['-79'],['-85']
['-65'],['-61'],['-71'],['-69'],['-61'],['-61'],['-61'],['-35'],['-57'],['-67'],['-69'],['-79'],['-65'],['-61'],['-69'],['-79'],['-85']
['-67'],['-65'],['-71'],['-59'],['-61'],['-59'],['-65'],['-35'],['-61'],['-67'],['-69'],['-79'],['-65'],['-63'],['-75'],['-79'],['-85']
['-69'],['-63'],['-67'],['-59'],['-67'],['-59'],['-65'],['-37'],['-57'],['-67'],['-69'],['-81'],['-65'],['-63'],['-67'],['-79'],['-85']
['-61'],['-63'],['-69'],['-59'],['-61'],['-63'],['-65'],['-37'],['-59'],['-67'],['-65'],['-79'],['-65'],['-61'],['-71'],['-79'],['-85']
['-79'],['-61'],['-67'],['-59'],['-63'],['-59'],['-65'],['-37'],['-61'],['-63'],['-71'],['-79'],['-65'],['-63'],['-67'],['-69'],['-85']
['-79'],['-65'],['-67'],['-59'],['-63'],['-61'],['-65'],['-37'],['-59'],['-69'],['-71'],['-79'],['-65'],['-61'],['-63'],['-69'],['-85']
['-67'],['-67'],['-79'],['-59'],['-67'],['-63'],['-67'],['-33'],['-69'],['-71'],['-71'],['-79'],['-67'],['-61'],['-67'],['-69'],['-85']
['-67'],['-79'],['-65'],['-59'],['-61'],['-63'],['-65'],['-35'],['-59'],['-63'],['-69'],['-79'],['-65'],['-59'],['-75'],['-69'],['-85']
['-69'],['-65'],['-65'],['-59'],['-63'],['-59'],['-65'],['-37'],['-61'],['-73'],['-65'],['-79'],['-65'],['-57'],['-63'],['-69'],['-85']
['-71'],['-63'],['-65'],['-59'],['-61'],['-63'],['-65'],['-33'],['-59'],['-73'],['-69'],['-79'],['-65'],['-61'],['-67'],['-69'],['-85']
['-67'],['-63'],['-69'],['-57'],['-63'],['-63'],['-65'],['-35'],['-59'],['-73'],['-69'],['-79'],['-63'],['-59'],['-67'],['-79'],['-81']
