"""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1","""Microondas""
48:F8:B3:22:4D:4B","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""CE5CFB""
98:FC:11:E2:A6:A5","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Lab ERNC""
00:90:4C:91:00:03","""eduroam""
84:D4:7E:29:3E:82","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""FabLab""
AC:84:C6:3E:EF:51","""Vibraciones""
50:C7:BF:DD:C3:B3","""Baxter""
EC:22:80:F3:EB:EA","""Lab 212""
00:23:CD:18:65:9C","""Eduescob1""
68:FF:7B:1D:44:01","""AP_1612927617""
BC:54:F9:FC:7F:60","""LabSerc 2.4""
94:10:3E:86:13:20","""UdeC""
84:D4:7E:29:3E:80","""WiFi-UdeC""
84:D4:7E:29:3E:81","""Docentes FI""
0E:18:D6:CB:01:A4","""LabControl_Postgrado""
64:70:02:A0:52:12","""Wifi CADIMAT""
F4:EC:38:E6:55:2E"
-55,-53,-55,-67,-55,-53,-73,-43,-61,-57,-65,-65,-65,-65,-79,-83,-69,-71,-53,-53,-65,-91,-89
-55,-55,-55,-65,-55,-53,-73,-43,-57,-57,-65,-69,-67,-67,-79,-83,-71,-71,-53,-53,-63,-91,-85
-53,-53,-53,-67,-55,-53,-75,-63,-61,-57,-57,-67,-67,-67,-79,-83,-69,-71,-53,-53,-63,-91,-89
-53,-53,-53,-65,-55,-53,-75,-39,-61,-57,-57,-71,-67,-67,-79,-83,-65,-71,-53,-53,-63,-91,-89
-53,-53,-53,-65,-53,-53,-75,-37,-61,-57,-63,-71,-65,-67,-79,-83,-69,-71,-53,-53,-65,-91,-89
-53,-53,-57,-61,-55,-53,-69,-37,-61,-55,-63,-63,-67,-67,-79,-81,-69,-71,-53,-53,-65,-91,-89
-53,-53,-53,-65,-55,-53,-73,-37,-59,-55,-63,-67,-69,-67,-79,-81,-69,-71,-53,-53,-63,-91,-89
-53,-53,-51,-65,-55,-53,-71,-75,-59,-55,-63,-67,-67,-67,-79,-81,-69,-71,-53,-53,-63,-91,-89
-55,-53,-57,-65,-55,-53,-73,-43,-59,-55,-63,-67,-67,-67,-79,-81,-69,-71,-53,-51,-65,-91,-87
-53,-53,-53,-65,-55,-55,-73,-39,-59,-57,-65,-67,-67,-65,-79,-81,-69,-71,-53,-51,-63,-87,-91
-53,-53,-53,-67,-55,-53,-75,-43,-59,-55,-65,-65,-67,-67,-79,-81,-69,-71,-51,-53,-65,-87,-87
-53,-53,-53,-57,-55,-53,-73,-39,-59,-55,-65,-67,-67,-67,-79,-81,-67,-71,-51,-53,-63,-87,-85
-53,-53,-53,-57,-55,-53,-73,-39,-59,-55,-65,-67,-67,-69,-79,-81,-69,-71,-51,-53,-57,-87,-87
-53,-55,-75,-57,-53,-53,-73,-43,-61,-67,-73,-67,-67,-53,-79,-81,-69,-69,-67,-53,-67,-87,-87
-53,-51,-51,-57,-53,-53,-73,-43,-61,-55,-75,-67,-65,-69,-79,-79,-69,-69,-51,-53,-63,-87,-87
-53,-53,-57,-51,-55,-53,-75,-43,-59,-57,-75,-65,-59,-67,-79,-79,-69,-69,-51,-53,-53,-87,-87
-53,-55,-51,-55,-55,-53,-73,-39,-57,-57,-75,-65,-65,-65,-79,-79,-65,-73,-51,-53,-53,-87,-87
-53,-53,-53,-59,-55,-51,-71,-43,-57,-55,-65,-71,-67,-65,-79,-79,-69,-73,-53,-53,-63,-87,-87
-53,-53,-51,-65,-69,-53,-75,-43,-57,-55,-57,-69,-67,-65,-73,-79,-65,-73,-53,-53,-63,-87,-87
-53,-53,-57,-61,-53,-51,-71,-71,-57,-57,-63,-67,-67,-65,-73,-79,-67,-73,-51,-53,-63,-87,-85
-53,-53,-53,-59,-55,-53,-75,-43,-57,-55,-57,-67,-65,-65,-73,-79,-65,-69,-53,-51,-57,-87,-87
-53,-53,-57,-65,-55,-53,-75,-43,-67,-53,-57,-67,-65,-65,-73,-65,-71,-53,-51,-63,-89,-85,-79
-53,-53,-57,-59,-55,-53,-75,-39,-57,-53,-57,-69,-65,-65,-73,-65,-71,-53,-51,-63,-89,-85,-79
-53,-53,-57,-65,-53,-53,-75,-39,-57,-53,-65,-67,-65,-67,-73,-69,-71,-53,-51,-63,-87,-85,-79
-55,-53,-55,-59,-55,-53,-71,-45,-57,-53,-65,-67,-65,-67,-73,-69,-71,-53,-53,-57,-87,-85,-61
-53,-53,-57,-59,-55,-53,-75,-43,-57,-53,-65,-67,-67,-65,-73,-63,-69,-53,-53,-65,-87,-85,-79
-53,-55,-49,-59,-55,-53,-75,-43,-57,-57,-65,-67,-65,-67,-73,-63,-69,-53,-51,-61,-87,-85,-79
-53,-53,-53,-59,-55,-53,-73,-39,-57,-57,-65,-65,-67,-67,-73,-65,-69,-53,-51,-61,-87,-85,-79
-53,-55,-55,-67,-55,-53,-73,-43,-57,-57,-63,-67,-67,-67,-73,-67,-69,-51,-51,-61,-85,-85,-81
-53,-53,-51,-61,-55,-53,-73,-43,-57,-57,-63,-71,-65,-65,-73,-67,-71,-51,-51,-63,-85,-85,-81
-53,-53,-83,-65,-55,-53,-71,-43,-57,-55,-65,-69,-65,-67,-73,-65,-71,-53,-51,-63,-85,-85,-79
-51,-53,-53,-61,-57,-53,-71,-39,-57,-55,-65,-67,-65,-67,-73,-67,-71,-53,-53,-67,-87,-87,-77
-51,-51,-55,-67,-57,-53,-73,-39,-59,-55,-65,-67,-67,-65,-73,-65,-71,-51,-51,-67,-87,-89,-79
-47,-53,-53,-65,-55,-51,-71,-39,-57,-55,-67,-67,-67,-65,-75,-69,-71,-51,-51,-73,-87,-89,-79
-53,-53,-53,-67,-55,-53,-71,-43,-59,-55,-67,-67,-67,-65,-75,-69,-71,-53,-51,-63,-87,-89,-79
-53,-55,-51,-69,-55,-55,-75,-41,-57,-55,-67,-69,-67,-65,-75,-71,-71,-53,-51,-63,-87,-89,-79
-53,-53,-55,-69,-55,-53,-73,-39,-57,-57,-63,-65,-67,-65,-77,-69,-71,-51,-53,-63,-87,-89,-81
-53,-51,-55,-61,-55,-53,-75,-39,-57,-57,-63,-67,-69,-65,-77,-69,-71,-51,-53,-63,-87,-89,-81
-45,-51,-51,-55,-55,-53,-71,-39,-61,-55,-57,-67,-69,-65,-77,-67,-67,-51,-53,-65,-87,-89,-79
-53,-53,-53,-67,-55,-53,-75,-43,-61,-57,-57,-67,-69,-65,-77,-65,-67,-53,-53,-63,-87,-89,-79
-53,-53,-55,-65,-55,-55,-71,-41,-57,-55,-57,-67,-69,-65,-77,-67,-69,-53,-53,-63,-87,-89,-77
-53,-53,-53,-67,-55,-55,-73,-43,-59,-55,-65,-67,-69,-65,-77,-71,-69,-53,-53,-63,-87,-87,-77
-53,-53,-53,-67,-55,-53,-73,-39,-55,-55,-65,-67,-69,-65,-77,-65,-69,-53,-53,-67,-85,-87,-79
-53,-55,-57,-69,-55,-53,-75,-39,-57,-57,-65,-67,-69,-63,-79,-67,-69,-53,-53,-67,-85,-85,-79
-53,-81,-53,-67,-55,-53,-75,-43,-57,-57,-65,-67,-69,-65,-77,-67,-69,-53,-53,-67,-87,-85,-81
-53,-53,-51,-65,-55,-53,-75,-39,-59,-55,-65,-69,-67,-65,-77,-65,-69,-53,-53,-63,-87,-85,-79
-53,-53,-61,-65,-55,-53,-73,-43,-59,-55,-67,-65,-63,-65,-79,-71,-69,-53,-53,-63,-87,-85,-77
-51,-53,-53,-67,-53,-53,-75,-43,-57,-55,-67,-71,-67,-65,-79,-65,-69,-53,-51,-55,-87,-85,-79
-55,-53,-51,-59,-55,-53,-75,-43,-57,-55,-65,-65,-57,-67,-73,-67,-69,-53,-51,-55,-89,-85,-79
-53,-55,-73,-65,-55,-53,-73,-43,-57,-55,-61,-65,-57,-67,-73,-63,-71,-53,-53,-57,-89,-87,-77
-53,-51,-53,-65,-53,-53,-71,-39,-61,-57,-65,-67,-65,-65,-73,-67,-71,-53,-53,-63,-89,-87,-77
-55,-53,-57,-61,-55,-53,-75,-43,-57,-57,-65,-65,-69,-65,-73,-69,-69,-53,-51,-63,-87,-85,-77
-53,-49,-53,-67,-55,-53,-71,-43,-57,-55,-67,-67,-69,-65,-73,-67,-71,-53,-53,-63,-87,-85,-79
-53,-55,-49,-65,-55,-53,-75,-37,-57,-55,-57,-67,-69,-65,-71,-65,-69,-53,-53,-65,-87,-85,-77
-53,-53,-51,-65,-55,-53,-71,-39,-61,-57,-65,-71,-67,-65,-71,-67,-69,-53,-53,-65,-87,-85,-79
-53,-71,-55,-61,-55,-53,-73,-39,-57,-55,-67,-67,-69,-65,-71,-65,-69,-53,-51,-63,-87,-87,-79
-53,-53,-55,-65,-55,-53,-73,-43,-59,-55,-65,-71,-69,-65,-71,-69,-69,-53,-51,-63,-87,-87,-79
-53,-53,-51,-59,-53,-53,-73,-43,-59,-55,-63,-65,-69,-65,-71,-65,-69,-53,-51,-63,-87,-87,-79
-53,-91,-57,-67,-55,-53,-73,-43,-59,-65,-63,-65,-67,-65,-71,-63,-71,-53,-53,-63,-87,-87,-79
-53,-53,-77,-67,-55,-53,-73,-41,-55,-57,-57,-65,-67,-63,-71,-63,-69,-53,-53,-65,-89,-83,-77
-53,-53,-55,-65,-55,-53,-71,-43,-59,-55,-61,-67,-67,-63,-71,-67,-69,-51,-53,-65,-87,-85,-77
-53,-53,-55,-59,-55,-53,-69,-43,-59,-55,-67,-65,-67,-63,-71,-69,-69,-53,-53,-65,-87,-85,-79
-53,-53,-57,-67,-55,-53,-71,-43,-59,-55,-57,-65,-67,-63,-71,-71,-69,-53,-51,-61,-87,-85,-79
-53,-55,-87,-67,-55,-53,-73,-43,-61,-55,-57,-67,-69,-63,-71,-65,-69,-53,-53,-57,-87,-85,-79
-53,-53,-57,-51,-55,-53,-75,-43,-57,-55,-57,-65,-69,-69,-71,-67,-71,-53,-53,-57,-87,-85,-79
-51,-53,-53,-67,-55,-53,-75,-43,-59,-55,-63,-67,-69,-69,-73,-65,-71,-53,-53,-57,-87,-89,-77
-51,-53,-49,-55,-55,-53,-73,-39,-55,-57,-67,-67,-69,-65,-73,-67,-71,-51,-53,-63,-87,-83,-79
-53,-55,-53,-61,-55,-53,-71,-39,-55,-57,-63,-67,-65,-65,-73,-65,-71,-89,-53,-59,-87,-83,-79
-53,-87,-51,-61,-53,-53,-73,-39,-61,-57,-63,-69,-67,-65,-73,-69,-71,-51,-53,-65,-87,-83,-79
-53,-53,-55,-65,-55,-53,-75,-39,-59,-57,-63,-71,-67,-65,-73,-65,-71,-51,-53,-63,-87,-83,-79
-47,-53,-53,-65,-55,-53,-71,-39,-59,-57,-67,-71,-67,-65,-73,-67,-71,-51,-53,-63,-87,-83,-79
-51,-53,-51,-67,-55,-53,-75,-43,-59,-55,-65,-67,-65,-69,-73,-65,-71,-53,-51,-63,-87,-87,-77
-51,-51,-53,-65,-55,-53,-75,-39,-59,-57,-55,-67,-65,-69,-73,-67,-71,-51,-53,-63,-89,-87,-79
-53,-53,-53,-59,-55,-53,-69,-37,-59,-55,-63,-67,-65,-69,-73,-67,-71,-53,-51,-65,-89,-85,-79
-53,-53,-57,-61,-55,-53,-75,-37,-59,-55,-63,-65,-65,-63,-73,-67,-71,-53,-51,-57,-89,-85,-79
-47,-53,-51,-55,-55,-55,-75,-39,-59,-55,-63,-69,-67,-67,-73,-67,-69,-53,-51,-57,-89,-85,-79
-53,-53,-53,-59,-55,-53,-71,-43,-59,-55,-57,-69,-67,-65,-73,-67,-69,-53,-51,-57,-89,-85,-79
