,precision,recall,f1-score,support
0,0.0,0.0,0.0,16.0
1,0.875,1.0,0.9333333333333333,14.0
2,0.6052631578947368,1.0,0.7540983606557378,23.0
3,0.9230769230769231,1.0,0.9600000000000001,24.0
4,0.9565217391304348,0.9166666666666666,0.9361702127659574,24.0
5,0.0,0.0,0.0,19.0
6,0.9565217391304348,0.8461538461538461,0.8979591836734695,26.0
7,0.8947368421052632,0.8947368421052632,0.8947368421052632,19.0
8,0.4444444444444444,1.0,0.6153846153846153,16.0
accuracy,0.7624309392265194,0.7624309392265194,0.7624309392265194,0.7624309392265194
macro avg,0.6283960939758041,0.7397285949917529,0.665742505324264,181.0
weighted avg,0.664431474326287,0.7624309392265194,0.6967519706618545,181.0
