,precision,recall,f1-score,support
0,0.9870298313878081,1.0,0.9934725848563969,3044.0
1,0.9993279569892473,0.9993279569892473,0.9993279569892473,2976.0
2,0.9963223002340355,0.998324958123953,0.997322623828648,2985.0
3,0.9930738786279684,0.9943857331571995,0.9937293729372938,3028.0
4,0.998631074606434,0.9858108108108108,0.9921795307718463,2960.0
5,0.901095556908095,0.9866711096301233,0.9419436933354541,3001.0
6,0.9834558823529411,0.890479360852197,0.9346610761705101,3004.0
7,0.0,0.0,0.0,5.0
8,0.0,0.0,0.0,8.0
accuracy,0.9786778354195421,0.9786778354195421,0.9786778354195421,0.9786778354195421
macro avg,0.762104053456281,0.7616666588403924,0.761404093209933,21011.0
weighted avg,0.9792016465248224,0.9786778354195421,0.9783207571884293,21011.0
