,precision,recall,f1-score,support
0,0.9928306551297899,1.0,0.9964024314601166,4016.0
1,0.9964753272910373,0.997731283085455,0.9971029096863585,3967.0
2,0.9945932028836252,0.9797108800405783,0.987095949916954,3943.0
3,0.970631067961165,0.993046933200894,0.9817110592856265,4027.0
4,0.982767109798129,0.9864096861872992,0.9845850289801454,4047.0
5,0.5051715438950555,0.9960208903257896,0.6703489831785086,4021.0
6,0.0,0.0,0.0,3983.0
7,0.0,0.0,0.0,2.0
8,0.0,0.0,0.0,5.0
accuracy,0.8508443111634715,0.8508443111634715,0.8508443111634715,0.8508443111634715
macro avg,0.6047187674398669,0.6614355192044462,0.6241384847230788,28011.0
weighted avg,0.7775227987351245,0.8508443111634715,0.8026353235292853,28011.0
