,precision,recall,f1-score,support
0,0.9901380670611439,0.9400749063670412,0.9644572526416906,534.0
1,0.41852181656277826,1.0,0.5900816070307596,470.0
2,0.1111111111111111,0.0018587360594795538,0.0036563071297989027,538.0
3,0.9542743538767395,0.97165991902834,0.9628886659979938,494.0
4,0.7431972789115646,0.8485436893203884,0.7923844061650045,515.0
5,0.9235668789808917,0.8987603305785123,0.9109947643979058,484.0
6,0.9146341463414634,0.9036144578313253,0.9090909090909091,498.0
7,0.9893842887473461,0.9810526315789474,0.9852008456659619,475.0
8,0.9376854599406528,0.640973630831643,0.7614457831325301,493.0
accuracy,0.790268829149078,0.790268829149078,0.790268829149078,0.790268829149078
macro avg,0.7758348223926324,0.7985042557328529,0.7644667268058394,4501.0
weighted avg,0.7718519289131373,0.790268829149078,0.7587386143302524,4501.0
