,precision,recall,f1-score,support
0,0.9593810444874274,1.0,0.979269496544916,992.0
1,0.9961538461538462,1.0,0.9980732177263969,1036.0
2,0.9989806320081549,0.9655172413793104,0.9819639278557115,1015.0
3,0.9979123173277662,0.9947970863683663,0.9963522668056279,961.0
4,0.9960435212660732,0.9872549019607844,0.9916297390448056,1020.0
5,0.9918283963227783,0.9928425357873211,0.9923352069494125,978.0
6,0.9969788519637462,0.9919839679358717,0.994475138121547,998.0
7,0.996031746031746,0.9950445986124876,0.9955379276152702,1009.0
8,0.9909729187562688,0.9959677419354839,0.9934640522875817,992.0
accuracy,0.9914453949561159,0.9914453949561159,0.9914453949561159,0.9914453949561159
macro avg,0.9915870304797563,0.9914897859977361,0.9914556636612522,9001.0
weighted avg,0.9916319391061342,0.9914453949561159,0.9914557907134184,9001.0
