,precision,recall,f1-score,support
0,0.4326086956521739,0.995,0.603030303030303,200.0
1,0.49122807017543857,0.14213197969543148,0.22047244094488191,197.0
2,0.6533333333333333,0.7424242424242424,0.6950354609929078,198.0
3,0.0,0.0,0.0,210.0
4,0.921875,0.592964824120603,0.7217125382262997,199.0
5,1.0,0.875,0.9333333333333333,208.0
6,0.3114754098360656,0.9844559585492227,0.47322540473225405,193.0
7,0.75,0.49038461538461536,0.5930232558139534,208.0
8,0.0,0.0,0.0,188.0
accuracy,0.5363686840644086,0.5363686840644086,0.5363686840644086,0.5363686840644086
macro avg,0.506724500999668,0.5358179577971239,0.47109252634154813,1801.0
weighted avg,0.510950332067383,0.5363686840644086,0.47423188312703635,1801.0
