,"X,Y","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""Lab ERNC""
00:90:4C:91:00:03","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""CE5CFB""
98:FC:11:E2:A6:A5","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""Vibraciones""
50:C7:BF:DD:C3:B3","""FabLab""
AC:84:C6:3E:EF:51","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Microondas""
48:F8:B3:22:4D:4B","""AP_1612927617""
BC:54:F9:FC:7F:60","""Eduescob1""
68:FF:7B:1D:44:01","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Docentes FI""
0E:18:D6:CB:01:A4","""linksys""
00:25:9C:98:4B:7D","""UdeC""
84:D4:7E:29:3E:80","""Baxter""
EC:22:80:F3:EB:EA","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""Lab 212""
00:23:CD:18:65:9C","""eduroam""
84:D4:7E:29:3C:E2"
0,"(1,2)",-63,-65,-51,-69,-57,-61,-73,-67,-67,-61,-69,-75,-35,-65,-81,-63,-65,-67,-77,-83
1,"(1,2)",-63,-65,-51,-67,-55,-61,-69,-67,-67,-61,-69,-85,-35,-65,-81,-63,-65,-67,-77,-81
2,"(1,2)",-65,-65,-51,-69,-57,-61,-73,-75,-67,-61,-75,-79,-37,-67,-81,-63,-67,-67,-77,-81
3,"(1,2)",-63,-61,-61,-63,-55,-61,-73,-73,-69,-61,-75,-81,-35,-67,-75,-63,-67,-67,-77,-81
4,"(1,2)",-65,-65,-51,-65,-57,-61,-73,-75,-69,-61,-75,-81,-35,-67,-81,-63,-65,-67,-77,-81
5,"(1,2)",-63,-61,-51,-71,-57,-61,-69,-75,-69,-57,-69,-81,-37,-63,-83,-59,-65,-67,-77,-81
6,"(1,2)",-65,-59,-51,-71,-57,-61,-69,-75,-69,-67,-73,-79,-37,-67,-83,-59,-67,-67,-77,-81
7,"(1,2)",-65,-69,-51,-69,-57,-61,-65,-73,-69,-65,-71,-83,-37,-67,-83,-59,-67,-63,-77,-81
8,"(1,2)",-65,-69,-51,-69,-57,-63,-73,-67,-67,-57,-71,-81,-37,-67,-83,-63,-65,-63,-77,-81
9,"(1,2)",-65,-65,-51,-69,-57,-61,-73,-73,-67,-63,-71,-81,-37,-67,-81,-63,-67,-57,-77,-81
10,"(1,2)",-65,-65,-51,-69,-51,-59,-65,-71,-67,-55,-73,-89,-37,-63,-77,-63,-65,-67,-79,-83
11,"(1,2)",-63,-63,-51,-65,-59,-63,-67,-67,-67,-63,-71,-89,-37,-67,-79,-83,-65,-67,-79,-81
12,"(1,2)",-65,-63,-51,-69,-57,-61,-71,-67,-67,-63,-71,-83,-33,-67,-81,-63,-67,-67,-79,-81
13,"(1,2)",-63,-65,-51,-69,-49,-63,-71,-69,-67,-63,-67,-83,-33,-69,-81,-63,-65,-63,-79,-81
14,"(1,2)",-63,-65,-51,-69,-59,-61,-71,-67,-61,-63,-67,-83,-35,-63,-81,-63,-65,-63,-77,-81
15,"(1,2)",-63,-63,-51,-67,-59,-63,-71,-75,-67,-67,-75,-83,-35,-69,-81,-63,-65,-63,-77,-81
16,"(1,2)",-63,-63,-51,-69,-59,-59,-67,-73,-67,-67,-73,-83,-35,-69,-81,-63,-65,-63,-77,-83
17,"(1,2)",-65,-63,-51,-73,-59,-61,-67,-73,-67,-59,-75,-83,-35,-67,-75,-63,-65,-67,-79,-83
18,"(1,2)",-63,-63,-51,-65,-55,-61,-73,-73,-67,-65,-73,-79,-39,-67,-75,-63,-63,-63,-75,-83
19,"(1,2)",-63,-65,-51,-65,-57,-61,-69,-67,-65,-67,-73,-81,-39,-67,-83,-63,-67,-63,-75,-83
20,"(1,2)",-65,-65,-53,-69,-51,-59,-73,-73,-65,-67,-73,-81,-39,-67,-81,-63,-67,-63,-75,-81
21,"(1,2)",-65,-63,-53,-67,-55,-61,-71,-73,-65,-67,-71,-83,-37,-69,-81,-63,-65,-63,-75,-81
22,"(1,2)",-65,-65,-51,-69,-57,-61,-71,-75,-65,-67,-73,-81,-37,-65,-81,-63,-67,-67,-75,-81
23,"(1,2)",-65,-63,-51,-69,-57,-61,-73,-67,-67,-63,-73,-83,-37,-67,-83,-65,-63,-67,-75,-81
24,"(1,2)",-63,-65,-53,-67,-83,-57,-73,-75,-67,-63,-73,-83,-37,-67,-81,-65,-67,-67,-81,-81
25,"(1,2)",-61,-65,-51,-65,-55,-57,-73,-73,-67,-57,-63,-83,-35,-67,-81,-65,-65,-67,-81,-81
26,"(1,2)",-63,-65,-51,-69,-57,-61,-73,-75,-65,-67,-71,-81,-37,-67,-83,-65,-65,-67,-81,-81
27,"(1,2)",-63,-65,-51,-69,-59,-63,-71,-67,-61,-61,-73,-81,-37,-67,-83,-81,-65,-65,-81,-81
28,"(1,2)",-65,-65,-49,-69,-57,-63,-71,-73,-59,-65,-71,-81,-37,-63,-81,-81,-67,-65,-81,-79
29,"(1,2)",-63,-59,-51,-65,-59,-61,-71,-71,-67,-63,-75,-81,-35,-69,-81,-81,-61,-65,-81,-77
30,"(1,2)",-63,-65,-51,-67,-57,-61,-69,-73,-65,-63,-75,-83,-35,-69,-81,-65,-65,-63,-79,-81
31,"(1,2)",-63,-65,-51,-69,-57,-61,-69,-73,-69,-89,-75,-79,-35,-63,-81,-65,-65,-67,-79,-81
32,"(1,2)",-61,-65,-51,-69,-57,-59,-69,-73,-67,-89,-73,-83,-33,-63,-83,-65,-65,-67,-79,-81
33,"(1,2)",-65,-69,-51,-69,-57,-63,-73,-71,-65,-63,-75,-83,-37,-63,-83,-65,-65,-69,-79,-81
34,"(1,2)",-63,-63,-49,-67,-57,-61,-73,-73,-67,-67,-73,-75,-35,-63,-81,-65,-67,-69,-77,-81
35,"(1,2)",-63,-63,-51,-59,-53,-61,-71,-69,-65,-67,-75,-81,-37,-57,-83,-65,-67,-65,-77,-81
36,"(1,2)",-63,-65,-51,-65,-57,-61,-73,-73,-65,-63,-71,-75,-37,-65,-81,-65,-65,-63,-79,-81
37,"(1,2)",-63,-65,-51,-67,-57,-61,-69,-73,-65,-67,-75,-85,-39,-67,-83,-59,-65,-63,-77,-81
38,"(1,2)",-63,-65,-51,-69,-51,-61,-73,-73,-67,-65,-75,-85,-37,-67,-75,-59,-67,-63,-77,-81
39,"(1,2)",-65,-63,-51,-67,-59,-63,-73,-73,-61,-65,-75,-85,-37,-63,-81,-59,-67,-69,-77,-81
40,"(1,2)",-65,-63,-51,-71,-55,-63,-73,-73,-65,-63,-73,-81,-35,-87,-79,-59,-67,-63,-79,-81
41,"(1,2)",-63,-69,-51,-71,-57,-63,-73,-73,-67,-61,-73,-83,-35,-63,-81,-65,-65,-63,-79,-81
42,"(1,2)",-65,-69,-51,-71,-59,-63,-73,-73,-67,-61,-75,-83,-35,-63,-81,-65,-65,-63,-79,-81
43,"(1,2)",-65,-69,-51,-71,-59,-61,-71,-77,-67,-61,-73,-77,-35,-63,-81,-65,-67,-67,-79,-81
44,"(1,2)",-63,-61,-51,-71,-55,-63,-73,-75,-67,-67,-61,-79,-35,-63,-81,-63,-67,-63,-77,-81
45,"(1,2)",-65,-61,-51,-69,-51,-63,-73,-67,-67,-63,-61,-77,-37,-63,-81,-63,-65,-69,-81,-77
46,"(1,2)",-63,-61,-51,-69,-57,-63,-71,-75,-67,-61,-61,-77,-35,-63,-79,-65,-67,-69,-81,-81
47,"(1,2)",-65,-61,-51,-69,-53,-63,-71,-75,-67,-67,-61,-77,-37,-67,-81,-63,-67,-63,-81,-81
48,"(1,2)",-67,-67,-51,-83,-59,-61,-73,-73,-67,-65,-61,-77,-35,-71,-79,-65,-65,-63,-81,-81
49,"(1,2)",-63,-65,-51,-69,-57,-61,-69,-67,-67,-65,-71,-81,-39,-61,-79,-65,-65,-63,-79,-81
50,"(1,2)",-63,-65,-49,-67,-53,-63,-71,-67,-67,-61,-73,-81,-39,-63,-81,-65,-67,-63,-79,-81
51,"(1,2)",-63,-61,-51,-67,-57,-63,-75,-67,-67,-63,-69,-81,-39,-61,-77,-65,-65,-63,-79,-81
52,"(1,2)",-63,-67,-51,-69,-55,-63,-73,-75,-67,-61,-69,-79,-35,-61,-75,-65,-67,-67,-79,-81
53,"(1,2)",-65,-67,-51,-69,-57,-63,-69,-77,-65,-63,-63,-81,-35,-63,-75,-65,-67,-67,-79,-81
54,"(1,2)",-63,-69,-51,-69,-57,-61,-73,-75,-67,-63,-63,-81,-39,-63,-75,-65,-67,-59,-79,-75
55,"(1,2)",-63,-65,-51,-69,-57,-59,-67,-73,-69,-61,-71,-81,-35,-55,-81,-63,-65,-63,-79,-75
56,"(1,2)",-65,-65,-49,-69,-59,-61,-67,-73,-69,-65,-71,-81,-37,-83,-75,-65,-67,-63,-81,-75
