,"X,Y","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1","""CE5CFB""
98:FC:11:E2:A6:A5","""Lab Energias Renovables""
F4:EC:38:D2:09:78","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""LCDA""
B0:48:7A:DE:14:8C","""AP_1612927617""
BC:54:F9:FC:7F:60","""Microondas""
48:F8:B3:22:4D:4B","""FabLab""
AC:84:C6:3E:EF:51","""Lab ERNC""
00:90:4C:91:00:03","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Baxter""
EC:22:80:F3:EB:EA","""Vibraciones""
50:C7:BF:DD:C3:B3","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""eduroam""
84:D4:7E:29:3C:E2","""Die231""
EC:08:6B:42:B5:4A","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Lab 212""
00:23:CD:18:65:9C","""UdeC""
84:D4:7E:29:3E:80","""WiFi-UdeC""
84:D4:7E:29:3E:81","""eduroam""
84:D4:7E:29:3E:82","""solidoswi""
00:4F:6A:0A:1B:6A"
0,"(2,0)",-57,-51,-61,-63,-61,-73,-67,-57,-67,-63,-63,-61,-67,-67,-81,-77,-45,-75,-53,-51,-59,-83
1,"(2,0)",-57,-51,-67,-61,-61,-71,-63,-57,-73,-67,-63,-65,-65,-57,-79,-77,-33,-75,-53,-51,-59,-83
2,"(2,0)",-57,-51,-69,-61,-61,-71,-63,-61,-73,-67,-63,-63,-65,-67,-79,-75,-47,-75,-51,-51,-59,-83
3,"(2,0)",-57,-53,-63,-61,-59,-71,-63,-61,-67,-69,-63,-63,-65,-67,-81,-75,-35,-75,-53,-53,-61,-81
4,"(2,0)",-57,-51,-69,-61,-61,-73,-67,-55,-67,-67,-63,-63,-61,-63,-81,-75,-35,-77,-53,-53,-59,-81
5,"(2,0)",-51,-53,-61,-63,-59,-73,-65,-57,-67,-69,-65,-65,-67,-63,-81,-77,-45,-75,-53,-53,-61,-81
6,"(2,0)",-57,-53,-67,-63,-59,-73,-65,-57,-75,-65,-65,-65,-67,-67,-81,-77,-45,-73,-53,-53,-59,-81
7,"(2,0)",-57,-59,-75,-61,-61,-73,-67,-61,-73,-69,-65,-65,-65,-63,-81,-77,-35,-73,-53,-53,-59,-81
8,"(2,0)",-55,-85,-67,-61,-61,-73,-67,-59,-69,-69,-63,-63,-65,-63,-81,-75,-45,-73,-53,-53,-59,-85
9,"(2,0)",-57,-57,-63,-61,-59,-73,-67,-57,-67,-67,-63,-63,-67,-69,-79,-77,-33,-73,-53,-53,-61,-83
10,"(2,0)",-55,-57,-65,-61,-59,-73,-67,-57,-77,-61,-63,-61,-65,-63,-81,-77,-33,-75,-53,-51,-59,-83
11,"(2,0)",-57,-57,-67,-61,-59,-73,-67,-57,-69,-61,-65,-59,-67,-61,-81,-77,-33,-73,-53,-53,-59,-83
12,"(2,0)",-51,-61,-67,-61,-59,-73,-65,-57,-69,-61,-65,-59,-65,-67,-81,-77,-47,-75,-53,-53,-59,-83
