"""Lab ERNC""
00:90:4C:91:00:03","""Convertidores Estaticos""
20:AA:4B:AE:FD:0A","""Vibraciones""
50:C7:BF:DD:C3:B3","""AP_1612927617""
BC:54:F9:FC:7F:60","""Lab Energia Renovable 2""
98:FC:11:54:32:53","""Laboratorio de Redes""
48:F8:B3:22:4C:FA","""Sala Dise\xC3\xB1o""
0A:18:D6:CB:01:A4","""Docentes FI""
0E:18:D6:CB:01:A4","""Microondas""
48:F8:B3:22:4D:4B","""CE5CFB""
98:FC:11:E2:A6:A5","""Ing. Civil Telecomunicaciones""
00:1E:E5:7B:E0:BE","""Lab Sistemas Electronicos""
68:FF:7B:47:9E:A1","""Die231""
EC:08:6B:42:B5:4A","""LabSerc 2.4""
94:10:3E:86:13:20","""Lab Energias Renovables""
F4:EC:38:D2:09:78"
-76,-69,-75,-72,-77,-50,-78,-77,-72,-78,-73,-67,-88,-78,-75
-76,-69,-74,-73,-77,-50,-78,-78,-74,-78,-73,-69,-88,-78,-74
-77,-68,-74,-73,-77,-50,-78,-77,-74,-78,-73,-70,-89,-78,-74
-77,-68,-74,-73,-77,-50,-77,-77,-73,-78,-73,-71,-89,-78,-74
-77,-68,-74,-73,-77,-50,-77,-78,-73,-78,-73,-71,-89,-78,-74
-77,-68,-74,-73,-77,-50,-77,-78,-73,-78,-73,-70,-89,-78,-75
-77,-68,-74,-74,-77,-50,-77,-78,-73,-78,-73,-69,-89,-78,-75
-77,-68,-74,-74,-77,-50,-77,-78,-72,-78,-73,-70,-89,-78,-74
-77,-68,-74,-73,-77,-50,-77,-78,-72,-79,-73,-70,-89,-78,-75
-76,-68,-74,-74,-77,-50,-77,-78,-72,-79,-72,-69,-89,-78,-74
-76,-68,-75,-74,-77,-50,-77,-78,-72,-79,-72,-69,-90,-78,-74
-77,-68,-74,-75,-77,-50,-77,-78,-73,-79,-72,-68,-90,-78,-74
-77,-68,-74,-75,-77,-50,-77,-78,-73,-79,-72,-68,-90,-78,-75
-77,-68,-74,-74,-77,-50,-77,-78,-73,-79,-72,-68,-90,-78,-74
-76,-68,-74,-74,-77,-50,-77,-78,-73,-79,-72,-69,-90,-78,-74
-77,-68,-73,-74,-77,-50,-77,-78,-73,-79,-72,-69,-90,-78,-75
-77,-68,-74,-74,-77,-50,-77,-77,-72,-79,-72,-72,-90,-78,-75
-77,-69,-73,-73,-77,-50,-77,-77,-72,-79,-72,-72,-90,-78,-74
-77,-69,-74,-72,-77,-50,-77,-77,-72,-79,-72,-72,-90,-78,-74
-76,-69,-74,-73,-77,-50,-77,-77,-72,-79,-72,-72,-90,-78,-74
-76,-69,-74,-73,-77,-50,-77,-77,-72,-79,-72,-71,-90,-78,-75
-76,-69,-74,-73,-77,-50,-77,-77,-72,-79,-72,-70,-90,-78,-75
