,precision,recall,f1-score,support
0,0.327150084317032,1.0,0.4930114358322744,194.0
1,0.0,0.0,0.0,186.0
2,0.0,0.0,0.0,213.0
3,0.985,0.9899497487437185,0.9874686716791979,199.0
4,1.0,0.9851485148514851,0.9925187032418953,202.0
5,0.9069767441860465,1.0,0.951219512195122,195.0
6,0.9901960784313726,0.9528301886792453,0.9711538461538463,212.0
7,0.0,0.0,0.0,3.0
8,0.0,0.0,0.0,7.0
accuracy,0.69950389794472,0.69950389794472,0.69950389794472,0.69950389794472
macro avg,0.46770254521493904,0.5475476058082721,0.4883746854558151,1411.0
weighted avg,0.6011794118364524,0.69950389794472,0.6265143037088227,1411.0
