,precision,recall,f1-score,support
0,0.9728779507785033,1.0,0.9862525458248472,1937.0
1,0.9797365754812564,0.9887525562372188,0.9842239185750636,1956.0
2,0.9938587512794268,0.9695456814777833,0.9815516805660853,2003.0
3,0.9954932398597897,0.9846458642892522,0.9900398406374502,2019.0
4,0.9672604718343765,0.9828767123287672,0.9750060664887163,2044.0
5,0.982089552238806,0.9840478564307079,0.9830677290836652,2006.0
6,0.977589641434263,0.9674716609167078,0.972504334902155,2029.0
7,0.0,0.0,0.0,11.0
8,0.0,0.0,0.0,6.0
accuracy,0.9811576618371279,0.9811576618371279,0.9811576618371279,0.9811576618371279
macro avg,0.7632117981007135,0.7641489257422708,0.763627346230887,14011.0
weighted avg,0.9800949747398141,0.9811576618371279,0.9805587881220239,14011.0
